lag,corr
-10,0.1614065514364637
-9,0.16261816621257347
-8,0.16444643603755782
-7,0.1675931236445467
-6,0.1719082384226218
-5,0.17621149634089397
-4,0.1798221984434616
-3,0.1825601545440908
-2,0.18441764031117922
-1,0.1851727717964531
0,0.184596615291744
1,0.18246880241339228
2,0.18070444467590516
3,0.1794407078894456
4,0.17787707889218826
5,0.17675559695557425
6,0.1754917028299617
7,0.17352994880096717
8,0.1714901041154889
9,0.1694228331857941
10,0.16743138433936366
